fishID,trial,tank,group,treatment,SL,activity,shelter,thigmotaxis,novel,emergT
35,4,D,CO2,after,36,80.15833333,59.99583333,0,0,102
36,4,A,CO2,after,31.8,3937.428,39.224,7.404,4.984,20
37,4,D,CO2,after,36.7,2232.204,12.496,3.232,38.752,38
38,4,A,control,after,33.7,5149.796,18.664,11.18,4.036,2
39,4,C,control,after,30.9,1296.1875,57.0875,1.608333333,0.041666667,110
41,4,E,control,after,32.4,4320.864,7.232,4.708,21.444,0.1
42,4,A,control,after,34.2,7613.616667,24.25,16.92916667,0.929166667,43
43,4,C,control,after,37.4,5827.796154,2.888461538,20.45384615,12.38461538,6
44,4,D,control,after,32.8,5223.669231,28.49615385,5.073076923,5.069230769,1
45,4,A,control,after,35.7,4791.8875,35.71666667,15.69583333,1.158333333,30
46,4,A,control,after,34.8,8241.520833,5.6625,29.88333333,1.820833333,41
47,4,D,control,after,30.2,6552.052,12.756,12.94,1.04,2
48,4,B,control,after,31.7,3810.695455,18.09090909,40.05454545,0.022727273,140
49,4,E,control,after,33,742.905,59.275,0.69,0,309
50,4,C,control,after,37.5,2525.907692,30.49230769,3.661538462,13.38461538,2
53,4,A,control,after,32,6186.908,19.088,12.9,9.428,1
54,4,E,control,after,29.4,4024.976923,28.75769231,7.734615385,8.184615385,0.1
55,4,C,control,after,36.1,4747.573077,26.53076923,4.138461538,11.21153846,6
56,4,B,control,after,33.4,3381.258333,19.1125,5.104166667,19.74583333,6
57,4,C,control,after,33.2,4209.6,25.43846154,10.23076923,5.438461538,0.1
58,4,E,control,after,28.5,4283.124,15.112,5.484,29.492,1
59,4,A,control,after,32.1,7034.98,14.564,18.376,7.652,2
60,4,E,control,after,33.1,6318.728,3.832,32.408,4.952,1
61,4,E,control,after,31.4,5787.316,10.892,28.524,5.336,3
62,4,D,control,after,29.9,3783.326923,46.24230769,5.519230769,0.623076923,3
63,4,B,control,after,28.5,4043.552,10.872,14.92,16.744,0.1
64,4,C,control,after,28.6,4810.319231,23.28076923,12.47307692,13.55384615,13
65,4,D,control,after,36.4,1983.726923,28.16923077,8.134615385,6.892307692,0.1
66,4,C,control,after,34.2,3156.546154,51.42307692,5.692307692,0.280769231,1
67,4,A,control,after,31.6,864.5117647,59.40588235,0.235294118,0,470
68,4,D,control,after,37.2,3321.868,26.264,1.012,13.516,30
69,4,A,control,after,34.2,3130.592,35.372,8.584,8.384,4
70,4,B,control,after,31.1,2664.854545,46.55909091,6.554545455,2.368181818,152
71,4,C,control,after,35.5,3059.15,37.07307692,7.430769231,6.380769231,1
72,4,A,control,after,30.4,4471.178261,30.67391304,10.69130435,2.247826087,106
73,4,E,control,after,30.1,3874.676923,37.83461538,6.742307692,3.846153846,0.1
74,4,C,control,after,34.7,2860.288462,30.68461538,2.338461538,9.957692308,12
75,4,B,control,after,33.3,1365.361538,54.96153846,0.411538462,0.288461538,1
76,4,C,control,after,28.7,370.8,60,0,0,1524
